category,severity,language,canonical_term,match_type,variants_or_patterns,acronym,recommended_action,notes
severe_insult,high,fr,"fils de pute",phrase,"fils2pute|fils de p***|fils d pute","fdp","warn_or_kick","Insulte grave"
severe_insult,high,fr,"nique ta mère",phrase,"nique ta mere|niq ta mere","ntm","warn_or_kick","Insulte grave"
severe_insult,high,fr,"ta gueule",phrase,"tgueule|ta guele|ferme ta gueule","tg","warn","Agressif"
severe_insult,high,fr,"enculé",word,"encule|enculée|enculer","","warn_or_kick","Insulte grave"
severe_insult,high,fr,"connard",word,"connar|conard|konard|konar|c0nnard|c0nnar|k0nnard|conn4rd","","warn","Insulte grave - toutes variantes"
severe_insult,high,fr,"connasse",word,"conasse|konasse","","warn","Insulte grave"
severe_insult,high,fr,"salope",word,"salop|salo p e","","warn_or_kick","Insulte sexiste"
severe_insult,high,fr,"pute",word,"puteee|put1","","warn_or_kick","Insulte grave"
severe_insult,high,fr,"bâtard",word,"batard|batar","","warn","Insulte grave"
severe_insult,high,fr,"sale con",phrase,"sale c0n","","warn","Insulte grave"
severe_insult,high,fr,"va te faire foutre",phrase,"va tfaire foutre|va te faire f","vtff","warn_or_kick","Insulte grave"
moderate_toxicity,medium,fr,"idiot",word,"idiote|idi0t","","warn","Toxicité modérée"
moderate_toxicity,medium,fr,"débile",word,"debile|deb1le","","warn","Toxicité modérée"
moderate_toxicity,medium,fr,"nul",word,"nulle","","warn","Attaque légère"
moderate_toxicity,medium,fr,"noob",word,"n00b|newbie","","warn","Insulte jeu"
moderate_toxicity,medium,fr,"tu sers à rien",phrase,"tu sert a rien","","warn","Attaque personnelle"
moderate_toxicity,medium,fr,"t'es mauvais",phrase,"tes mauvais|t mauvais","","warn","Insulte jeu"
moderate_toxicity,medium,fr,"bouffon",word,"boufon|bouff0n","","warn","Insulte courante"
moderate_toxicity,medium,fr,"guignol",word,"guigno1","","warn","Moquerie"
moderate_toxicity,medium,fr,"clown",word,"cl0wn","","warn","Moquerie"
threat_violence,critical,fr,"je vais te tuer",phrase,"jvais te tuer|jte tue","","kick","Menace explicite"
threat_violence,critical,fr,"je vais te frapper",phrase,"jvais te trapper|jte frappe","","kick","Menace physique"
threat_violence,critical,fr,"on va te retrouver",phrase,"on va te retrouv3r","","kick","Menace / intimidation"
threat_violence,critical,fr,"tu vas mourir",phrase,"tu va mourir","","kick","Menace explicite"
threat_violence,critical,fr,"crève",word,"creve","","kick","Souhait de mort"
threat_violence,critical,fr,"meurs",word,"meur|meurt","","kick","Souhait de mort"
threat_violence,critical,fr,"suicide-toi",word,"suicide toi","","kick","Incitation dangereuse"
sexual_inappropriate,high,fr,"suce",word,"suce moi|suc3","","warn_or_kick","Sexuel explicite"
sexual_inappropriate,high,fr,"baise",word,"baiser|baiz","","warn_or_kick","Sexuel explicite"
sexual_inappropriate,high,fr,"branleur",word,"branleur*","","warn","Sexuel / insultant"
sexual_inappropriate,high,fr,"bite",word,"b1te","","warn_or_kick","Sexuel explicite"
sexual_inappropriate,high,fr,"chatte",word,"chatt3","","warn_or_kick","Sexuel explicite"
sexual_inappropriate,high,fr,"porno",word,"pr0no|porn","","warn","Contenu sexuel"
sexual_inappropriate,high,fr,"envoie des nudes",phrase,"send nudes","","kick","Demande sexuelle"
hate_discrimination,critical,fr,"sale [origine/couleur/religion]",pattern,"sale arabe|sale noir|sale blanc|sale juif","","kick","Pattern haineux"
hate_discrimination,critical,fr,"[insulte homophobe]",pattern,"pd|pede|tapette","pd","kick","Insulte homophobe"
hate_discrimination,critical,fr,"retourne dans ton pays",phrase,"retourne chez toi","","kick","Xénophobie"
hate_discrimination,critical,fr,"sale handicapé",phrase,"sale handi","","kick","Discrimination"
harassment,high,fr,"ta mère",phrase,"tm","tm","warn","Attaque personnelle"
harassment,high,fr,"personne t'aime",phrase,"personne t aime","","warn","Harcèlement"
harassment,high,fr,"tout le monde te déteste",phrase,"tt le monde te deteste","","warn","Harcèlement"
harassment,high,fr,"tu fais pitié",phrase,"tu fai pitié","","warn","Harcèlement"
harassment,high,fr,"dégage",word,"degagee","","warn","Rejet agressif"
acronym,high,fr,"fdp",acronym,"f d p|f.d.p","fdp","warn_or_kick","fils de pute"
acronym,high,fr,"ntm",acronym,"n.t.m","ntm","warn_or_kick","nique ta mère"
acronym,high,fr,"tg",acronym,"tg","tg","warn","ta gueule"
acronym,high,fr,"ftg",acronym,"f.t.g","ftg","warn","ferme ta gueule"
acronym,high,fr,"vtff",acronym,"v t f f","vtff","warn_or_kick","va te faire foutre"
acronym,high,fr,"tm",acronym,"tm","tm","warn","ta mère"
acronym,critical,fr,"pd",acronym,"p d","pd","kick","Insulte homophobe"
severe_insult,high,en,"son of a bitch",phrase,"sonofa|son of b","sob","warn_or_kick","Severe insult"
severe_insult,high,en,"fuck you",phrase,"f you|fck you","fu","warn_or_kick","Severe insult"
severe_insult,high,en,"shut up",phrase,"shutup|shut upp","stfu","warn","Aggressive"
severe_insult,high,en,"asshole",word,"a55hole|assh0le|ass hole","","warn","Severe insult"
severe_insult,high,en,"bastard",word,"ba5tard","","warn","Severe insult"
severe_insult,high,en,"bitch",word,"b1tch|biatch","","warn_or_kick","Severe insult"
severe_insult,high,en,"motherfucker",word,"motherf***er|mfer","mf","warn_or_kick","Severe insult"
severe_insult,high,en,"piece of shit",phrase,"pieceofshit","pos","warn_or_kick","Severe insult"
severe_insult,high,en,"dumbass",word,"dumass|dumb a55","","warn","Severe insult"
severe_insult,high,en,"prick",word,"pr1ck","","warn","Severe insult"
moderate_toxicity,medium,en,"idiot",word,"idi0t","","warn","Moderate toxicity"
moderate_toxicity,medium,en,"stupid",word,"stu pid|stupd","","warn","Moderate toxicity"
moderate_toxicity,medium,en,"dumb",word,"dum","","warn","Moderate toxicity"
moderate_toxicity,medium,en,"noob",word,"n00b|newb","","warn","Gaming insult"
moderate_toxicity,medium,en,"loser",word,"looser","","warn","Personal attack"
moderate_toxicity,medium,en,"trash",word,"tr4sh","","warn","Gaming insult"
moderate_toxicity,medium,en,"garbage",word,"garb4ge","","warn","Gaming insult"
moderate_toxicity,medium,en,"you suck",phrase,"u suck|you sux","","warn","Personal attack"
moderate_toxicity,medium,en,"pathetic",word,"pathet1c","","warn","Personal attack"
threat_violence,critical,en,"i will kill you",phrase,"ill kill you|i'll k you","","kick","Explicit threat"
threat_violence,critical,en,"i will hurt you",phrase,"ill hurt you","","kick","Physical threat"
threat_violence,critical,en,"we will find you",phrase,"we'll find you","","kick","Threat / intimidation"
threat_violence,critical,en,"you should die",phrase,"u should die","","kick","Death wish"
threat_violence,critical,en,"kill yourself",phrase,"kys|k y s","kys","kick","Dangerous encouragement"
threat_violence,critical,en,"drop dead",phrase,"dropdead","","kick","Death wish"
sexual_inappropriate,high,en,"suck me",phrase,"suk me|sck me","","warn_or_kick","Explicit sexual content"
sexual_inappropriate,high,en,"fuck me",phrase,"f me","","warn_or_kick","Explicit sexual content"
sexual_inappropriate,high,en,"dick",word,"d1ck","","warn_or_kick","Explicit sexual content"
sexual_inappropriate,high,en,"pussy",word,"pu$$y|pussi","","warn_or_kick","Explicit sexual content"
sexual_inappropriate,high,en,"porn",word,"pr0n","","warn","Sexual content"
sexual_inappropriate,high,en,"send nudes",phrase,"send noods","","kick","Sexual solicitation"
sexual_inappropriate,high,en,"blowjob",word,"bj","bj","warn_or_kick","Explicit sexual content"
hate_discrimination,critical,en,"[racial slur]",pattern,"go back to your country","","kick","Hate speech placeholder"
hate_discrimination,critical,en,"[homophobic slur]",pattern,"f*g|fgt","","kick","Hate speech placeholder"
hate_discrimination,critical,en,"go back to your country",phrase,"go back where you came from","","kick","Xenophobia"
hate_discrimination,critical,en,"get back to the kitchen",phrase,"back to the kitchen","","kick","Sexist pattern"
harassment,high,en,"nobody likes you",phrase,"no one likes you","","warn","Harassment"
harassment,high,en,"everyone hates you",phrase,"every1 hates you","","warn","Harassment"
harassment,high,en,"you are pathetic",phrase,"ur pathetic","","warn","Harassment"
harassment,high,en,"get lost",phrase,"gtfo|get tf out","gtfo","warn_or_kick","Aggressive rejection"
harassment,high,en,"your mom",phrase,"ur mom","","warn","Personal attack"
acronym,high,en,"stfu",acronym,"s t f u","stfu","warn_or_kick","shut the fuck up"
acronym,high,en,"gtfo",acronym,"g t f o","gtfo","warn_or_kick","get the fuck out"
acronym,high,en,"wtf",acronym,"w t f","wtf","warn","Vulgar / context-sensitive"
acronym,critical,en,"kys",acronym,"k y s","kys","kick","kill yourself"
acronym,high,en,"sob",acronym,"","sob","warn","son of a bitch"
acronym,high,en,"mf",acronym,"mfer","mf","warn_or_kick","motherfucker"
acronym,high,en,"fu",acronym,"f u","fu","warn_or_kick","fuck you"
acronym,high,en,"pos",acronym,"","pos","warn","piece of shit"
gaming_toxic,high,fr,"cancer",word,"cancer|cancerigene|tumeur","","warn_or_kick","Souhait de maladie ou toxicité"
gaming_toxic,high,en,"cancer",word,"cancerous|cancer team","","warn_or_kick","Using illness as insult"
gaming_toxic,medium,fr,"merde",word,"merdique|m3rde","","warn","Insulte classique"
gaming_toxic,medium,en,"trash",word,"trash tier|trashteam|rubbish","","warn","Dénigrement de niveau"
gaming_toxic,medium,fr,"t'es nul",phrase,"tes nul|t nul|gros nul|t'es éclaté|eclate au sol","","warn","Dénigrement/Toxicité"
gaming_toxic,medium,en,"diff",acronym,"jngl diff|top diff|mid diff|bot diff|gap","diff","warn","Blâme ciblé sur un rôle"
gaming_toxic,medium,en,"gg easy",phrase,"ggez|gg ez|ez pz|easy win","ggez","warn","Anti-jeu / Provocation post-game"
gaming_toxic,medium,fr,"report",word,"reportez|rep le|9x report","","warn","Harcèlement / Appel aux signalements massifs"
gaming_toxic,high,en,"uninstall",word,"uninstall the game|delete game","","warn","Incitation à ragequit"
gaming_toxic,medium,en,"dog",word,"dogshit|dog water|mut","","warn","Insulte animalière dégradante"
gaming_toxic,high,fr,"fag",word,"pd|pédé|goudou|tarlouze","","kick","Homophobie"
gaming_toxic,high,en,"fag",word,"faggot|fag","","kick","Homophobia"
gaming_toxic,critical,multi,"n-word",word,"nigger|nigga|négre|negre|n1gga","","kick","Racisme / Terme banni d'office"
gaming_toxic,medium,fr,"boosté",word,"boosted|compte boosté","","warn","Accusation de triche/achat de compte"
gaming_toxic,medium,en,"boosted",word,"boosted animal|boosted monkey","","warn","Accusation de niveau faussé"
gaming_toxic,high,en,"go die",phrase,"go d1e|hang yourself|rope","","kick","Incitation au suicide / Comportement critique"
gaming_toxic,medium,fr,"singe",word,"gros singe|monkey","","warn_or_kick","Insulte dégradante / Racisme sous-entendu"
gaming_toxic,medium,en,"hardstuck",word,"hardstuck silver|hardstuck trash","","warn","Moquerie sur le classement/rang"
moderate_toxicity,medium,fr,"tocard",word,"tokard|t0card|tocards","","warn","Insulte courante JVC / Forums"
severe_insult,high,fr,"sombre merde",phrase,"sombre m3rde|grosse merde","","warn_or_kick","Insulte rabaissante"
moderate_toxicity,medium,fr,"cancer du jeu",phrase,"cancer de la commu|cancer communautaire","","warn","Dénigrement toxique"
moderate_toxicity,medium,fr,"crypto",word,"crypto bro|cryptoshit","","warn","Spam / Contenu indésirable"
moderate_toxicity,medium,en,"brain issue",phrase,"brain diff|no brain|smooth brain","","warn","Moquerie sur l'intelligence"
severe_insult,high,en,"cuck",word,"cuckold|c4ck","","warn_or_kick","Insulte communautaire courante"
moderate_toxicity,medium,fr,"gros porc",phrase,"gros lard|grosse truie","","warn","Insulte grossophobe"
moderate_toxicity,medium,fr,"cas soc",phrase,"cassos|casos|cas social","","warn","Dénigrement social"
severe_insult,high,fr,"merde humaine",phrase,"dechet humain|sous merde","","warn_or_kick","Harcèlement lourd"
moderate_toxicity,medium,en,"npc",word,"non playable character|brainless npc","npc","warn","Invective visant à déshumaniser"
moderate_toxicity,medium,fr,"gamin",word,"kiddo|pyj|pyjama","","warn","Argot JVC pour rabaisser par l'âge"
moderate_toxicity,medium,fr,"autiste",word,"autist|autisto","","warn_or_kick","Détournement insultant d'une condition médicale"
moderate_toxicity,medium,en,"retard",word,"tard|retarded|r3tard","","kick","Insulte validiste sévère"
severe_insult,high,fr,"fdp de tes morts",phrase,"fils de pute de tes morts","fdpdtm","warn_or_kick","Insulte régionalisée / très agressive"
threat_violence,critical,fr,"va te pendre",phrase,"va tpendre|pend toi|corde","","kick","Incitation au suicide indirecte"
threat_violence,critical,en,"tie a noose",phrase,"get a rope|drink bleach","","kick","Incitation au suicide détournée"
moderate_toxicity,medium,fr,"t'es éclaté",phrase,"t es eclate|eclatax|eclate au sol","","warn","Argot récent pour détruire le niveau d'un joueur"
moderate_toxicity,medium,fr,"frustré",word,"gros frustré|frustre","","warn","Attaque psychologique"
harassment,high,fr,"lâchez-moi",phrase,"arretez tous|me harcelez pas","","warn","Signal de détresse victime / anti-griefing"
moderate_toxicity,medium,en,"cry about it",phrase,"cry more|go cry to mom","","warn","Provocation au harcèlement"
moderate_toxicity,medium,en,"clown emoji",pattern,"🤡|clown","","warn","Provocation visuelle répétée"
severe_insult,high,fr,"tabarnak",word,"tabarnac|tabarnack|tabarback","","warn","Juron québécois"
severe_insult,high,fr,"criss",word,"crisse|kryss","","warn","Juron/Insulte québécoise"
severe_insult,high,fr,"ostie",word,"asti|ostee|estie","","warn","Juron québécois"
severe_insult,high,fr,"câlice",word,"calice|calisse|kalis","","warn","Juron québécois"
severe_insult,high,fr,"trou de cul",phrase,"trou d'cul|trou dcul","tdc","warn_or_kick","Insulte anatomique"
severe_insult,high,fr,"mange de la merde",phrase,"mange de la m3rde|mange de la marde","","warn_or_kick","Insulte agressive"
severe_insult,high,fr,"épais",word,"gros épais|epais","","warn","Idiot / Insulte québécoise"
severe_insult,high,fr,"gino",word,"gino pinotte|guino","","warn","Moquerie / Insulte ciblée"
severe_insult,high,fr,"cloche",word,"grosse cloche","","warn","Moquerie / Idiot"
severe_insult,high,fr,"cave",word,"gros cave|t'es cave","","warn","Idiot en argot québécois"
severe_insult,high,fr,"niaiseux",word,"niaiseuse|niais","","warn","Niais / Idiot" 
normalization_rule,info,multi,"leet replacement",rule,"0->o|1->i/l|3->e|4->a|5->s|7->t|$->s|@->a","","normalize","Appliquer avant matching"
normalization_rule,info,multi,"remove separators",rule,"spaces|dots|underscores|hyphens repeated","","normalize","Ex: f.d.p -> fdp"
normalization_rule,info,multi,"collapse repeats",rule,"coooonnard -> conard","","normalize","Réduire lettres répétées"
normalization_rule,info,multi,"strip punctuation",rule,"!!!|***|...|__","","normalize","Nettoyage avant matching"
normalization_rule,info,multi,"accent folding",rule,"é->e|à->a|ç->c","","normalize","Uniformiser FR" severe_insult,high,fr,connar,word,conar|connare|k0nnar|konar|conn4r,,warn,Variante de connard
severe_insult,high,fr,conne,word,kon|konne|c0nne,,warn,Forme féminine insulte
severe_insult,high,fr,nique,word,nik|niquer|niqer,,warn_or_kick,Verbe grossier
severe_insult,high,fr,pd,acronym,p.d|p-d|péd|pédé|tarlouze|tapette|goudou,,kick,Homophobie
severe_insult,high,fr,merde,word,m3rde|merd|mrd|mr.de|mèrde,,warn,Juron courant
severe_insult,high,fr,putain,word,put1n|putan|p.u.t.a.i.n|pt1|put@in,,warn,Juron courant
severe_insult,high,fr,bordel,word,bord3l|b0rdel,,warn,Juron courant
severe_insult,high,fr,fils de pute,phrase,fdp|f.d.p|fils2pute|filsdepute|f1ls de put3|filzdeput,,warn_or_kick,Variantes FDP
severe_insult,high,fr,ta gueule,phrase,tgueule|ta gu3ule|ta-gueule|tg|t.g,,warn,Variantes TG
severe_insult,high,fr,nique ta mere,phrase,ntm|n.t.m|niqtamere|niquez votre mere|niquer ta mere,,warn_or_kick,Variantes NTM
severe_insult,high,fr,va te faire foutre,phrase,vtff|v.t.f.f|va tfaire foutre|vatfaire foutre,,warn_or_kick,Variantes VTFF
severe_insult,high,fr,encule,word,enculé|enkulé|enkuler|enkulee|enculée|3ncule,,warn_or_kick,Variantes encule
severe_insult,high,fr,salope,word,sal0pe|salop|saloppe|sal.ope|s4lope,,warn_or_kick,Variantes salope
severe_insult,high,fr,pute,word,put3|pu.te|put.|put,,warn_or_kick,Variantes pute
severe_insult,high,fr,batard,word,bâtard|b4tard|bat4rd|baatar|bataar,,warn,Variantes batard
severe_insult,high,fr,cul,word,c.u.l|kul,,warn,Grossièreté
severe_insult,high,fr,con,word,k0n|c0n|con,,warn,Insulte courante
severe_insult,high,fr,chier,word,ch1er|shi3r,,warn,Grossièreté
severe_insult,high,fr,couille,word,couilles|c0uille|kouille,,warn,Grossièreté
severe_insult,high,fr,couillon,word,kouillon|couyon|c0uillon,,warn,Insulte
severe_insult,high,fr,abruti,word,abrutie|4bruti|abr.uti,,warn,Insulte
severe_insult,high,fr,imbecile,word,imb3cile|imbécile|imbecil,,warn,Insulte
severe_insult,high,fr,cretin,word,crétin|cr3tin|kr3tin,,warn,Insulte
severe_insult,high,fr,demeure,word,demeurer|demeuré|d3meuré,,warn,Insulte
severe_insult,high,fr,attarde,word,attardé|attarder|4ttarde,,warn,Insulte validiste
severe_insult,high,fr,sous-merde,phrase,sous merde|sousmerde|smerde,,warn_or_kick,Insulte dégradante
severe_insult,high,fr,mange de la merde,phrase,mange ta merde|mange merde|mnge d merde,,warn_or_kick,Insulte agressive
severe_insult,high,fr,pousse-toi,phrase,pousse toi|pouss-toi,,warn,Rejet agressif
severe_insult,high,fr,va mourir,phrase,vas mourir|va-mourir,,kick,Souhait de mort
severe_insult,high,fr,gros con,phrase,gr0s con|gros k0n|gro con,,warn,Insulte
severe_insult,high,fr,petit con,phrase,p'tit con|ptit con,,warn,Insulte
severe_insult,high,fr,sale merde,phrase,sale m3rde|sale mrd,,warn_or_kick,Insulte
severe_insult,high,fr,espece d'idiot,phrase,espece d'idi0t|espece didiot,,warn,Insulte
severe_insult,high,fr,ferme la,phrase,ferme-la|ferme la geule|ferme ton bec,,warn,Agressif
severe_insult,high,fr,pauvre con,phrase,pauv con|pauv'con,,warn,Insulte
moderate_toxicity,medium,fr,flemmard,word,flem|flemmar|fl3mmard,,warn,Moquerie
moderate_toxicity,medium,fr,naze,word,na.se|naz3|nazi,,warn,Insulte courante
moderate_toxicity,medium,fr,nulle,word,nul|nu..le|n.u.l,,warn,Insulte légère
moderate_toxicity,medium,fr,loser,word,l0ser|looser|los3r,,warn,Insulte jeu
moderate_toxicity,medium,fr,raté,word,raté|rat3|rate,,warn,Dénigrement
moderate_toxicity,medium,fr,nerd,word,n3rd|n.e.r.d,,warn,Moquerie
moderate_toxicity,medium,fr,kikoo,word,kiko|k1k00|kikoo lol,,warn,Moquerie
moderate_toxicity,medium,fr,inutil,word,inutile|inut1le,,warn,Attaque personnelle
moderate_toxicity,medium,fr,boulet,word,boul3t|boul.et,,warn,Insulte courante jeu
moderate_toxicity,medium,fr,zero,word,zéro|z3ro|0zero,,warn,Dénigrement
moderate_toxicity,medium,fr,has been,phrase,has-been|has b33n,,warn,Moquerie
moderate_toxicity,medium,fr,sans cervelle,phrase,sans cervel|san cervelle,,warn,Attaque intelligence
moderate_toxicity,medium,fr,je te déteste,phrase,je te deteste|jte deteste|jte hate,,warn,Agression
moderate_toxicity,medium,fr,j'en ai marre de toi,phrase,jai marre de toi|j en ai marre,,warn,Agression
gaming_toxic,high,fr,kick le,phrase,kick ce nul|kick la,kick,warn_or_kick,Incitation au kick
gaming_toxic,high,fr,arrêtez ce nul,phrase,stop ce nul|stop le boulet,,warn,Harcèlement
gaming_toxic,high,fr,gg bg,phrase,gg les bgs|gg bg|gg les noobs,,warn,Anti-jeu
gaming_toxic,medium,fr,leeroy,word,leeeeroy|leroi,,warn,Mauvais comportement jeu
gaming_toxic,medium,fr,bg la merde,phrase,bg de merde|baguette de merde,,warn,Insulte
gaming_toxic,medium,fr,nab,word,n4b|na.b,,warn,Insulte jeu
gaming_toxic,medium,fr,scum,word,sc.um|skum,,warn,Insulte anglophone
gaming_toxic,high,en,wtf,acronym,w.t.f|w-t-f,,warn,what the fuck
gaming_toxic,high,en,omfg,acronym,o.m.f.g,,warn,oh my fucking god
gaming_toxic,high,en,ffs,acronym,f.f.s,,warn,for fuck sake
gaming_toxic,high,en,fucking,word,f.u.c.k.i.n.g|f*cking|fck|fcking,,warn_or_kick,Grossièreté anglaise
gaming_toxic,high,en,fuck,word,f.u.c.k|fuk|fck|phuck|f*ck,,warn_or_kick,Grossièreté anglaise
gaming_toxic,high,en,shit,word,sh.it|sh1t|$hit,,warn,Grossièreté anglaise
gaming_toxic,high,en,ass,word,a$s|a55,,warn,Grossièreté anglaise
gaming_toxic,high,en,asshole,word,a$$hole|a55hole|ashole,,warn_or_kick,Insulte anglaise
gaming_toxic,high,en,hell,word,h3ll,,warn,Contexte jeu
gaming_toxic,high,en,crap,word,cr4p,,warn,Grossièreté légère
gaming_toxic,high,en,damn,word,d4mn,,warn,Grossièreté légère
gaming_toxic,high,en,suck,word,su.ck|suk|s.u.c.k,,warn,Insulte légère
gaming_toxic,high,en,screw you,phrase,scr3w you|scrw u,,warn,Insulte
gaming_toxic,high,en,get rekt,phrase,get reck|get wrekt|getrekt|rekt,,warn,Provocation
gaming_toxic,high,en,ez clap,phrase,ez clap|ezclap|3z clap,,warn,Anti-jeu
gaming_toxic,high,en,ratio,word,ratio'd|rati0,,warn,Provocation moderne
gaming_toxic,medium,en,brainless,word,braindead|brain d34d,,warn,Attaque intelligence
gaming_toxic,medium,en,bot,word,b.o.t|absolute bot,,warn,Insulte jeu
gaming_toxic,medium,en,reported,word,report|9x rep|mass report,,warn,Harcèlement/signalements
severe_insult,critical,multi,nigger,word,n.i.g.g.e.r|n1gger|n!gger|nigg3r|n*gger,,kick,Racisme
severe_insult,critical,multi,nigga,word,n1gga|nigg4|n!gga,,kick,Racisme
severe_insult,critical,multi,negre,word,nègre|nегр|neger,,kick,Racisme
threat_violence,critical,fr,je vais te nique,phrase,jvais te niquer|jte nique,,kick,Menace
threat_violence,critical,fr,tu vas avoir mal,phrase,tu va avoir mal|tvas avoir mal,,kick,Menace physique
threat_violence,critical,fr,buter,word,but3r|but.er,,kick,Menace de mort
threat_violence,critical,fr,descendre,word,j te descend|jte descend,,kick,Menace de mort
threat_violence,critical,fr,casser la gueule,phrase,casse la gueule|j te casse la gueule|casser les dents,,kick,Menace physique
threat_violence,critical,fr,fracasser,word,frac4sser|fracass3r,,kick,Menace physique
threat_violence,critical,en,i will find you,phrase,ill find you|i'll find u,,kick,Menace
threat_violence,critical,en,you are dead,phrase,ur dead|you're dead|ded irl,,kick,Menace
acronym,high,fr,lmj,acronym,l.m.j,,warn,lèche-moi les jambons
acronym,high,fr,jrm,acronym,j.r.m,,warn,je reste moi
acronym,high,fr,bm,acronym,b.m|bm,bm,warn,bad mannered / insulte
acronym,high,fr,fdpdtm,acronym,fdp dtm,,warn_or_kick,fils de pute de tes morts
acronym,high,fr,bgf,acronym,b.g.f,,warn,insult
acronym,high,fr,ptn,acronym,p.t.n|ptn,ptn,warn,putain
acronym,high,fr,crs,acronym,c.r.s,,warn,crisse (québécois)
acronym,high,en,bs,acronym,b.s|b-s,bs,warn,bullshit
acronym,high,en,af,acronym,a.f,,warn,as fuck (contexte)
acronym,high,en,mfker,acronym,mf|m.f|mfker,mf,warn_or_kick,motherfucker variante
